state,market,avg_min_price,avg_max_price,avg_modal_price
Uttar Pradesh,Ruperdeeha,1922.0,2111.0,2044.0
Uttar Pradesh,Rura,2692.7083333333335,2867.7916666666665,2867.7916666666665
Uttar Pradesh,Sambhal,924.2222222222222,1091.111111111111,998.0
Uttar Pradesh,Samsabad,1635.9375,1787.5,1706.25
Uttar Pradesh,Shahpur,0.0,0.0,1348.6363636363637
Uttar Pradesh,Sirsa,1366.6666666666667,1466.6666666666667,1416.6666666666667
Uttar Pradesh,Siyana,795.7142857142857,908.5714285714286,857.1428571428571
Uttar Pradesh,Sultanpurchilkana,644.4444444444445,833.3333333333334,738.8888888888889
Uttar Pradesh,Thanabhawan,800.0,950.0,880.3125
Uttar Pradesh,Tikonia,1225.0,1319.0,1272.0
Uttar Pradesh,Viswan,1533.3333333333333,1680.0,1598.3333333333333
Uttrakhand,Dehradoon,960.5263157894736,1350.0,1139.4736842105262
Uttrakhand,Kashipur,700.0,850.0,787.5
West Bengal,Asansol,4001.764705882353,4168.823529411765,4080.0
West Bengal,Balarampur,3007.777777777778,3130.0,3067.777777777778
West Bengal,Baruipur(Canning),2998.3333333333335,3200.8333333333335,3120.8333333333335
West Bengal,Beldanga,2430.0,2510.0,2466.6666666666665
West Bengal,Bishnupur(Bankura),2101.6666666666665,2208.3333333333335,2155.0
West Bengal,Burdwan,2528.0,2644.0,2585.0
West Bengal,Dhupguri,1608.3333333333333,1786.111111111111,1691.6666666666667
West Bengal,Ghatal,3521.4285714285716,3664.285714285714,3592.8571428571427
West Bengal,Guskara(Burdwan),2646.6666666666665,2740.0,2691.6666666666665
West Bengal,Habra,2256.25,2535.0,2370.0
West Bengal,Islampur,2860.0,2973.3333333333335,2916.6666666666665
West Bengal,Jangipur,2710.714285714286,2776.4285714285716,2742.1428571428573
West Bengal,Kalna,2002.5,2092.5,2060.8333333333335
West Bengal,Katwa,4106.111111111111,4312.777777777777,4252.777777777777
West Bengal,Khatra,1594.4444444444443,1824.4444444444443,1674.4444444444443
West Bengal,Memari,2933.3333333333335,3333.3333333333335,3133.3333333333335
West Bengal,Nadia,2552.222222222222,2696.6666666666665,2627.777777777778
West Bengal,Pandua,1630.0,1695.0,1665.0
West Bengal,Purulia,3525.4545454545455,3691.3636363636365,3622.7272727272725
West Bengal,Raiganj,3308.3333333333335,3425.0,3366.6666666666665
West Bengal,Samsi,2671.4285714285716,2764.285714285714,2717.8571428571427
